Statistic Label,Month,County,Driving Test Categories,UNIT,VALUE
Driving Tests Delivered,2022 August,Co. Donegal,Category B (Car or light van),Number,369
Driving Tests Delivered,2022 August,Co. Dublin,Category B (Car or light van),Number,3989
Driving Tests Delivered,2022 August,Co. Galway,Category B (Car or light van),Number,743
Driving Tests Delivered,2022 September,Co. Donegal,Category B (Car or light van),Number,347
Driving Tests Delivered,2022 September,Co. Dublin,Category B (Car or light van),Number,3333
Driving Tests Delivered,2022 September,Co. Galway,Category B (Car or light van),Number,522
Driving Tests Delivered,2022 October,Co. Donegal,Category B (Car or light van),Number,618
Driving Tests Delivered,2022 October,Co. Dublin,Category B (Car or light van),Number,3248
Driving Tests Delivered,2022 October,Co. Galway,Category B (Car or light van),Number,635
Driving Tests Delivered,2022 November,Co. Donegal,Category B (Car or light van),Number,607
Driving Tests Delivered,2022 November,Co. Dublin,Category B (Car or light van),Number,3913
Driving Tests Delivered,2022 November,Co. Galway,Category B (Car or light van),Number,710
Driving Tests Delivered,2022 December,Co. Donegal,Category B (Car or light van),Number,307
Driving Tests Delivered,2022 December,Co. Dublin,Category B (Car or light van),Number,2452
Driving Tests Delivered,2022 December,Co. Galway,Category B (Car or light van),Number,424
Driving Tests Delivered,2023 January,Co. Donegal,Category B (Car or light van),Number,538
Driving Tests Delivered,2023 January,Co. Dublin,Category B (Car or light van),Number,4072
Driving Tests Delivered,2023 January,Co. Galway,Category B (Car or light van),Number,802
Driving Tests Delivered,2023 February,Co. Donegal,Category B (Car or light van),Number,448
Driving Tests Delivered,2023 February,Co. Dublin,Category B (Car or light van),Number,4065
Driving Tests Delivered,2023 February,Co. Galway,Category B (Car or light van),Number,835
Driving Tests Delivered,2023 March,Co. Donegal,Category B (Car or light van),Number,612
Driving Tests Delivered,2023 March,Co. Dublin,Category B (Car or light van),Number,5370
Driving Tests Delivered,2023 March,Co. Galway,Category B (Car or light van),Number,1052
Driving Tests Delivered,2023 April,Co. Donegal,Category B (Car or light van),Number,382
Driving Tests Delivered,2023 April,Co. Dublin,Category B (Car or light van),Number,4303
Driving Tests Delivered,2023 April,Co. Galway,Category B (Car or light van),Number,941
Driving Tests Delivered,2023 May,Co. Donegal,Category B (Car or light van),Number,455
Driving Tests Delivered,2023 May,Co. Dublin,Category B (Car or light van),Number,5347
Driving Tests Delivered,2023 May,Co. Galway,Category B (Car or light van),Number,1120
Driving Tests Delivered,2023 June,Co. Donegal,Category B (Car or light van),Number,420
Driving Tests Delivered,2023 June,Co. Dublin,Category B (Car or light van),Number,4607
Driving Tests Delivered,2023 June,Co. Galway,Category B (Car or light van),Number,1075
Driving Tests Delivered,2023 July,Co. Donegal,Category B (Car or light van),Number,374
Driving Tests Delivered,2023 July,Co. Dublin,Category B (Car or light van),Number,4266
Driving Tests Delivered,2023 July,Co. Galway,Category B (Car or light van),Number,693
Driving Tests Delivered,2023 August,Co. Donegal,Category B (Car or light van),Number,312
Driving Tests Delivered,2023 August,Co. Dublin,Category B (Car or light van),Number,4264
Driving Tests Delivered,2023 August,Co. Galway,Category B (Car or light van),Number,733
Driving Tests Delivered,2023 September,Co. Donegal,Category B (Car or light van),Number,456
Driving Tests Delivered,2023 September,Co. Dublin,Category B (Car or light van),Number,4644
Driving Tests Delivered,2023 September,Co. Galway,Category B (Car or light van),Number,693
Driving Tests Delivered,2023 October,Co. Donegal,Category B (Car or light van),Number,513
Driving Tests Delivered,2023 October,Co. Dublin,Category B (Car or light van),Number,4779
Driving Tests Delivered,2023 October,Co. Galway,Category B (Car or light van),Number,882
Driving Tests Delivered,2023 November,Co. Donegal,Category B (Car or light van),Number,387
Driving Tests Delivered,2023 November,Co. Dublin,Category B (Car or light van),Number,5518
Driving Tests Delivered,2023 November,Co. Galway,Category B (Car or light van),Number,944
Driving Tests Delivered,2023 December,Co. Donegal,Category B (Car or light van),Number,289
Driving Tests Delivered,2023 December,Co. Dublin,Category B (Car or light van),Number,3541
Driving Tests Delivered,2023 December,Co. Galway,Category B (Car or light van),Number,661
Driving Tests Delivered,2024 January,Co. Donegal,Category B (Car or light van),Number,562
Driving Tests Delivered,2024 January,Co. Dublin,Category B (Car or light van),Number,6615
Driving Tests Delivered,2024 January,Co. Galway,Category B (Car or light van),Number,1018
Driving Tests Delivered,2024 February,Co. Donegal,Category B (Car or light van),Number,599
Driving Tests Delivered,2024 February,Co. Dublin,Category B (Car or light van),Number,6432
Driving Tests Delivered,2024 February,Co. Galway,Category B (Car or light van),Number,1135
Driving Tests Delivered,2024 March,Co. Donegal,Category B (Car or light van),Number,649
Driving Tests Delivered,2024 March,Co. Dublin,Category B (Car or light van),Number,6086
Driving Tests Delivered,2024 March,Co. Galway,Category B (Car or light van),Number,1008
Driving Tests Delivered,2024 April,Co. Donegal,Category B (Car or light van),Number,541
Driving Tests Delivered,2024 April,Co. Dublin,Category B (Car or light van),Number,7401
Driving Tests Delivered,2024 April,Co. Galway,Category B (Car or light van),Number,1104
Driving Tests Delivered,2024 May,Co. Donegal,Category B (Car or light van),Number,676
Driving Tests Delivered,2024 May,Co. Dublin,Category B (Car or light van),Number,7760
Driving Tests Delivered,2024 May,Co. Galway,Category B (Car or light van),Number,1239
Driving Tests Delivered,2024 June,Co. Donegal,Category B (Car or light van),Number,505
Driving Tests Delivered,2024 June,Co. Dublin,Category B (Car or light van),Number,6224
Driving Tests Delivered,2024 June,Co. Galway,Category B (Car or light van),Number,848
Driving Tests Delivered,2024 July,Co. Donegal,Category B (Car or light van),Number,672
Driving Tests Delivered,2024 July,Co. Dublin,Category B (Car or light van),Number,6909
Driving Tests Delivered,2024 July,Co. Galway,Category B (Car or light van),Number,1052
Driving Tests Delivered,2024 August,Co. Donegal,Category B (Car or light van),Number,570
Driving Tests Delivered,2024 August,Co. Dublin,Category B (Car or light van),Number,5947
Driving Tests Delivered,2024 August,Co. Galway,Category B (Car or light van),Number,773
Driving Tests Delivered,2024 September,Co. Donegal,Category B (Car or light van),Number,540
Driving Tests Delivered,2024 September,Co. Dublin,Category B (Car or light van),Number,6163
Driving Tests Delivered,2024 September,Co. Galway,Category B (Car or light van),Number,1125
Driving Tests Delivered,2024 October,Co. Donegal,Category B (Car or light van),Number,370
Driving Tests Delivered,2024 October,Co. Dublin,Category B (Car or light van),Number,6211
Driving Tests Delivered,2024 October,Co. Galway,Category B (Car or light van),Number,1043
Driving Tests Delivered,2024 November,Co. Donegal,Category B (Car or light van),Number,363
Driving Tests Delivered,2024 November,Co. Dublin,Category B (Car or light van),Number,5461
Driving Tests Delivered,2024 November,Co. Galway,Category B (Car or light van),Number,860
Driving Tests Delivered,2024 December,Co. Donegal,Category B (Car or light van),Number,259
Driving Tests Delivered,2024 December,Co. Dublin,Category B (Car or light van),Number,3439
Driving Tests Delivered,2024 December,Co. Galway,Category B (Car or light van),Number,656
Driving Tests Delivered,2025 January,Co. Donegal,Category B (Car or light van),Number,556
Driving Tests Delivered,2025 January,Co. Dublin,Category B (Car or light van),Number,4831
Driving Tests Delivered,2025 January,Co. Galway,Category B (Car or light van),Number,959

